Sentence,Intent
Ne olacağını bilmiyorum :) !,anxiety
Birazdan patlayacağım...,stress
Kafam karışık ve tedirgin :) !!,anxiety
Keşke bir arkadaşım olsaydı 🙏 .,loneliness
Kimse beni anlamıyor :) !,loneliness
Maalesef uygun değil lütfen .,rejection
Bunu yapamam :)  :),rejection
Elveda 🖐️,farewell
İçim daralıyor lütfen  sevgili dostum,anxiety
Stres seviyesi tavan yaptı 🙂,stress
"Kendine iyi bak, kendine çok iyi bak.",farewell
Selamlar!,greeting
Kaygılıyım 🙂  :),anxiety
Her geçen gün daha iyiyim. !,motivation
Endişe içindeyim sevgili dostum,anxiety
Birazdan patlayacağım,stress
Kusura bakma ama hayır sevgili dostum,rejection
Sesimi duyan yok sevgili dostum  :),loneliness
İnanıyorum!!  🙏,motivation
Başarabilirim 🙂  sevgili dostum,motivation
Şu an için mümkün değil :)  🙂,rejection
Desteğin için teşekkürler. .,gratitude
Bu iyiliğini unutmayacağım lütfen,gratitude
Reddetmek zorundayım!!  :),rejection
Desteğin için teşekkürler...,gratitude
Kafam karışık ve tedirgin 🙏,anxiety
Üzerimde büyük bir baskı var lütfen !!,stress
Sinirlerim laçka 🙂,stress
Kafam çok dolu :) ...,stress
Sesimi duyan yok lütfen,loneliness
Hey! Nasılsınız?,greeting
Çok gerginim. .,stress
İstemiyorum 🙂,rejection
Kalbim hızlı çarpıyor!!,anxiety
Hedefime ulaşacağım 🙏,motivation
İyi geceler! ...,farewell
Elveda. Görüşürüz.,farewell
Kendimi yalnız hissediyorum!  :),loneliness
Üzerimde büyük bir baskı var lütfen,stress
Stres seviyesi tavan yaptı.,stress
Yılmadan devam ediyorum :)  🙂,motivation
Desteğin için teşekkürler! ...,gratitude
Kalabalıkta bile yapayalnızım :),loneliness
Yalnızlık içimi kemiriyor 🙏  :),loneliness
Derin nefes almaya çalışıyorum sevgili dostum,stress
Hedefime ulaşacağım sevgili dostum,motivation
Stres seviyesi tavan yaptı!  :),stress
Yardımın için minnettarım sevgili dostum,gratitude
Hedefime ulaşacağım!,motivation
Sürekli felaket senaryoları düşünüyorum.  lütfen,anxiety
Başarabilirim 🙏  lütfen,motivation
Minnettarım,gratitude
Keşke bir arkadaşım olsaydı...,loneliness
"Hayır, teşekkürler... ...",rejection
Reddetmek zorundayım 🙂,rejection
Minnettarım!,gratitude
Bugün başlamak için güzel bir gün!  🙏,motivation
"Hayır, teşekkürler 🙏 !!",rejection
Birazdan patlayacağım. !,stress
Yalnızlık içimi kemiriyor 🙂,loneliness
Merhaba dostum dostum!,greeting
İyi geceler 🖐️,farewell
Yılmadan devam ediyorum 🙏 !!,motivation
Başarabilirim :) .,motivation
Tekrar görüşmek dileğiyle 🖐️,farewell
Derin nefes almaya çalışıyorum...,stress
Şimdilik hoşça kal!,farewell
Desteğin için teşekkürler!,gratitude
Stres seviyesi tavan yaptı lütfen,stress
İyi geceler.,farewell
Sinirlerim laçka.,stress
Üzerimde büyük bir baskı var 🙏,stress
Üzerimde büyük bir baskı var. !,stress
Kimse beni anlamıyor...,loneliness
Kötü bir şey olacak diye hissediyorum :),anxiety
Bugün harika hissediyorum 🙏,motivation
Maalesef uygun değil 🙏,rejection
Sürekli felaket senaryoları düşünüyorum! .,anxiety
Teşekkür ederim...  :),gratitude
Güle güle sevgili dostum.,farewell
Çok teşekkür ederim...  🙂,gratitude
Merhaba. Keyifler nasıl?,greeting
Birazdan patlayacağım sevgili dostum !!,stress
Maalesef uygun değil... !,rejection
Bu bana göre değil.,rejection
Merhaba nasılsın. Keyifler nasıl?  lütfen,greeting
Bu tempo beni öldürüyor :),stress
Bunu yapamam!!,rejection
Maalesef uygun değil 🙂,rejection
Bugün harika hissediyorum,motivation
Kimse beni anlamıyor!!,loneliness
Kendine iyi bak!  lütfen,farewell
Ne olacağını bilmiyorum :),anxiety
Maalesef uygun değil sevgili dostum,rejection
Hedefime ulaşacağım!  lütfen,motivation
Huzursuzum lütfen !,anxiety
Hey dostum!  lütfen,greeting
Selam sevgili dostum!,greeting
Çok gerginim...,stress
Huzursuzum sevgili dostum,anxiety
Teşekkür ederim,gratitude
Kendimi yalnız hissediyorum!!,loneliness
Hoşçakalın sevgili dostum.,farewell
Bugün harika hissediyorum!  sevgili dostum,motivation
Keşke bir arkadaşım olsaydı sevgili dostum,loneliness
Kendine iyi bak. Görüşürüz.,farewell
Bu bana göre değil!! .,rejection
Teşekkür ederim!  lütfen,gratitude
Kabul etmiyorum  🙏,rejection
Her geçen gün daha iyiyim sevgili dostum ...,motivation
Teşekkür ederim.,gratitude
Kalbim hızlı çarpıyor.  lütfen,anxiety
Kendimi yalnız hissediyorum. ...,loneliness
Başarabilirim 🙂,motivation
Hoşça kal sevgili dostum.,farewell
Kusura bakma ama hayır sevgili dostum  🙂,rejection
Derin nefes almaya çalışıyorum...  lütfen,stress
Sinirlerim laçka,stress
Yılmadan devam ediyorum. !!,motivation
Kalbim hızlı çarpıyor!!  🙏,anxiety
Merhaba sevgili dostum!,greeting
Hedefime ulaşacağım :),motivation
Birazdan patlayacağım.,stress
Hoş geldiniz dostum!  sevgili dostum,greeting
Kendimi yalnız hissediyorum 🙏  🙏,loneliness
"Hayır, teşekkürler.",rejection
İçimde büyük bir boşluk var lütfen,loneliness
"Hey, nasılsın?",greeting
Kafam çok dolu sevgili dostum  🙂,stress
Hoş geldiniz sevgili dostum!,greeting
Bugün harika hissediyorum!!,motivation
Sağ ol lütfen  🙏,gratitude
Kusura bakma ama hayır...,rejection
Kötü bir şey olacak diye hissediyorum sevgili dostum  🙂,anxiety
Desteğin için teşekkürler!!,gratitude
Hedefime ulaşacağım  🙏,motivation
Kafam karışık ve tedirgin :),anxiety
Her şey üstüme üstüme geliyor sevgili dostum,stress
Sesimi duyan yok,loneliness
Görüşmek üzere.,farewell
Selamlar 🙂,greeting
Uyuyamıyorum!!,anxiety
Yalnızlık içimi kemiriyor!!,loneliness
Sadece biri beni dinlese yeter :) !,loneliness
Reddetmek zorundayım!!,rejection
İçimde büyük bir boşluk var!,loneliness
Gerçekten çok naziksin...,gratitude
Yardımın için minnettarım,gratitude
Kabul etmiyorum,rejection
Huzursuzum 🙏 !,anxiety
Her şey üstüme üstüme geliyor!!  🙏,stress
Kendime güveniyorum sevgili dostum !,motivation
Kendine iyi bak 🖐️,farewell
Kimse beni anlamıyor :),loneliness
Birazdan patlayacağım... ...,stress
Kafam karışık ve tedirgin 🙂  lütfen,anxiety
Bugün başlamak için güzel bir gün :)  🙂,motivation
Maalesef uygun değil!!,rejection
"Kendine iyi bak, kendine çok iyi bak.  lütfen",farewell
Teşekkür ederim 🙂,gratitude
Kusura bakma ama hayır!!,rejection
"İyi akşamlar, nasılsın?",greeting
Kabul etmiyorum :),rejection
Kendimi yalnız hissediyorum.,loneliness
Uyuyamıyorum 🙂 .,anxiety
Yardımın için minnettarım lütfen,gratitude
Merhaba 🙂 !!,greeting
Her geçen gün daha iyiyim,motivation
Kendime güveniyorum :),motivation
Endişe içindeyim 🙏,anxiety
Hoşça kal. Allah'a emanet.,farewell
Günaydın. Keyifler nasıl? .,greeting
Günaydın. Keyifler nasıl?,greeting
Yalnızlık içimi kemiriyor 🙏,loneliness
İnanıyorum 🙂,motivation
Sesimi duyan yok.,loneliness
Gerçekten çok naziksin!  :),gratitude
Sinirlerim laçka :) !,stress
Selamlar dostum!,greeting
Hedefime ulaşacağım :)  sevgili dostum,motivation
İyi akşamlar. Keyifler nasıl? !!,greeting
Kafam çok dolu...  sevgili dostum,stress
Yılmadan devam ediyorum lütfen,motivation
Kendime güveniyorum lütfen,motivation
İnanıyorum!,motivation
Sadece biri beni dinlese yeter!,loneliness
Kafam çok dolu 🙏,stress
Huzursuzum :)  sevgili dostum,anxiety
Bu bana göre değil. !,rejection
Bu bana göre değil! ...,rejection
Sinirlerim laçka !,stress
Elveda. Allah'a emanet.  :),farewell
Çok gerginim!!  🙏,stress
Bunu yapamam.,rejection
İstemiyorum 🙂 .,rejection
Yardımın için minnettarım :),gratitude
Desteğin için teşekkürler :)  lütfen,gratitude
Kendimi güçlü hissediyorum...,motivation
İçimde büyük bir boşluk var  🙂,loneliness
Minnettarım.  🙏,gratitude
Elveda. Allah'a emanet.,farewell
Bu bana göre değil...,rejection
Merhaba dostum sevgili dostum!,greeting
Elveda.  sevgili dostum,farewell
Desteğin için teşekkürler lütfen  sevgili dostum,gratitude
İçimde büyük bir boşluk var sevgili dostum,loneliness
Bu bana göre değil...  🙂,rejection
Ne olacağını bilmiyorum!  🙂,anxiety
Yarın görüşürüz. Görüşürüz.,farewell
Hedefime ulaşacağım lütfen,motivation
Hoş geldiniz 🙂,greeting
Zamanla yarışıyorum 🙏,stress
Hoşçakalın! Sağlıcakla kal. ...,farewell
Desteğin için teşekkürler :),gratitude
Uyuyamıyorum :)  🙏,anxiety
Başarabilirim :),motivation
Kabul etmiyorum sevgili dostum !,rejection
Gerçekten çok naziksin sevgili dostum,gratitude
Çok teşekkür ederim!!,gratitude
Bunu yapamam sevgili dostum ...,rejection
"Elveda, kendine çok iyi bak.",farewell
Ne olacağını bilmiyorum 🙂  lütfen,anxiety
Nasılsınız efendim!,greeting
Her şey üstüme üstüme geliyor :) .,stress
Maalesef uygun değil.,rejection
Kalbim hızlı çarpıyor.,anxiety
Bu bana göre değil lütfen !,rejection
İçim daralıyor 🙏 !,anxiety
Keşke bir arkadaşım olsaydı...  lütfen,loneliness
Görüşmek üzere. Görüşürüz.,farewell
"Selam, nasılsın? !",greeting
Kalabalıkta bile yapayalnızım.  :),loneliness
Çok gerginim lütfen  :),stress
Pes etmeyeceğim!!  :),motivation
Endişe içindeyim :)  🙂,anxiety
Şu an için mümkün değil...,rejection
Birazdan patlayacağım lütfen,stress
Selamlar. Keyifler nasıl?,greeting
İstemiyorum! !,rejection
Hoş geldiniz efendim!,greeting
Kendime güveniyorum,motivation
Hoşçakalın! Sağlıcakla kal.,farewell
Şimdilik hoşça kal.,farewell
Elveda.,farewell
Hoş geldiniz! Umarım iyisiniz.,greeting
Kötü bir şey olacak diye hissediyorum lütfen .,anxiety
Kalabalıkta bile yapayalnızım.,loneliness
Şimdilik hoşça kal sevgili dostum.,farewell
İçim daralıyor sevgili dostum,anxiety
İyi geceler! Sağlıcakla kal.  🙂,farewell
Allah razı olsun!  🙏,gratitude
Merhaba nasılsın sevgili dostum!,greeting
Gerçekten çok naziksin!!,gratitude
Yılmadan devam ediyorum lütfen !!,motivation
Nasılsınız dostum!,greeting
Kalbim hızlı çarpıyor,anxiety
Başarabilirim!!,motivation
Yalnızlık zor geliyor!!,loneliness
Bu tempo beni öldürüyor... !!,stress
Başarabilirim...,motivation
Kabul etmiyorum sevgili dostum,rejection
Keşke bir arkadaşım olsaydı lütfen,loneliness
Üzerimde büyük bir baskı var 🙂,stress
Her şey üstüme üstüme geliyor!,stress
Stres seviyesi tavan yaptı 🙏 !!,stress
Pes etmeyeceğim sevgili dostum  lütfen,motivation
Çok teşekkür ederim!! ...,gratitude
İyi geceler 🖐️ .,farewell
Uyuyamıyorum 🙂,anxiety
Bu iyiliğini unutmayacağım,gratitude
Her geçen gün daha iyiyim!!,motivation
Kendimi güçlü hissediyorum sevgili dostum,motivation
Zamanla yarışıyorum sevgili dostum,stress
Çok teşekkür ederim lütfen,gratitude
İnanıyorum. ...,motivation
Hoş geldiniz sevgili dostum! !!,greeting
Yalnızlık zor geliyor 🙂 !!,loneliness
Selam! Umarım iyisiniz.  🙂,greeting
Sadece biri beni dinlese yeter lütfen,loneliness
İnanıyorum  :),motivation
İyi ki varsın!!,gratitude
Görüşmek üzere! Sağlıcakla kal.,farewell
Hoşçakalın. Görüşürüz.,farewell
Nasılsınız. Keyifler nasıl?  :),greeting
Sürekli felaket senaryoları düşünüyorum :),anxiety
Endişe içindeyim :),anxiety
Pes etmeyeceğim :) ...,motivation
Hey!  :),greeting
Yılmadan devam ediyorum!!,motivation
Derin nefes almaya çalışıyorum,stress
Merhaba dostum!,greeting
Allah razı olsun!! !,gratitude
"Selamlar, nasılsın?",greeting
Üzerimde büyük bir baskı var  🙏,stress
Olmaz :),rejection
Hiç kimsem yok gibi geliyor...,loneliness
"Selamlar, sizi görmek ne güzel.",greeting
Tekrar görüşmek dileğiyle.,farewell
Sadece biri beni dinlese yeter 🙂,loneliness
Kafam çok dolu!,stress
Üzerimde büyük bir baskı var :)  🙏,stress
Çok gerginim!!,stress
Kimse beni anlamıyor 🙂,loneliness
Başarabilirim lütfen,motivation
Selam efendim!,greeting
Reddetmek zorundayım 🙏,rejection
Hey sevgili dostum!,greeting
Her geçen gün daha iyiyim!,motivation
Allah razı olsun!!,gratitude
Kabul etmiyorum 🙂,rejection
Kötü bir şey olacak diye hissediyorum,anxiety
İstemiyorum.,rejection
Şu an için mümkün değil!!  sevgili dostum,rejection
Ne olacağını bilmiyorum 🙏,anxiety
Kimse beni anlamıyor!!  lütfen,loneliness
Kendimi güçlü hissediyorum lütfen,motivation
Merhaba nasılsın dostum!,greeting
Selam 🙂,greeting
İçimde büyük bir boşluk var lütfen ...,loneliness
"Kendine iyi bak, bay bay.  :)",farewell
Bugün başlamak için güzel bir gün. ...,motivation
Kaygılıyım.,anxiety
İyi akşamlar efendim!,greeting
Keşke bir arkadaşım olsaydı :),loneliness
Hoşçakalın. Allah'a emanet.,farewell
Sadece biri beni dinlese yeter...  sevgili dostum,loneliness
Güle güle. Görüşürüz.,farewell
Sesimi duyan yok sevgili dostum,loneliness
Güle güle. Allah'a emanet.,farewell
Desteğin için teşekkürler.,gratitude
"Merhaba nasılsın, nasılsın?",greeting
Yalnızlık içimi kemiriyor lütfen !!,loneliness
Başarabilirim 🙏,motivation
